Date,Nifty Returns,Nifty Auto,NIFTY ENERGY,Nifty FMCG,Nifty IT,Nifty Media,Nifty Metal,Nifty PSU Bank,Nifty Realty,NIFTY BANK,NIFTY MEDIA,NIFTY CONSUMPTION,NIFTY MNC,NIFTY PSE,NIFTY COMMODITIES,NIFTY SERV SECTOR
2022-05-26,-1.0097130699722678,0.11581142,0.27512547,-0.2335344,-0.055944655,-0.035652924,0.15747988,-0.051060673,-0.13575888,0.14205328,-0.062005863,-0.32382488,-0.12970847,0.11221555,0.17262985,-0.5100266
2022-05-27,-1.7035072911963962,0.08676445,0.25253174,-0.24242887,-0.0425858,-0.011315511,0.1633584,-0.049556784,-0.15264902,0.253703,-0.05251267,-0.29179424,-0.14403355,0.10756584,0.1530861,-0.6058508
2022-05-30,0.4710003221406469,0.06565808,0.2024877,-0.25199988,-0.03867272,0.0117304595,0.16845284,-0.07090825,-0.18610322,0.20351022,-0.04034467,-0.2630208,-0.15101561,0.11253704,0.13732122,-0.63795245
2022-05-31,0.3871729198312005,0.07501594,0.16100925,-0.2612627,-0.033207923,0.031125065,0.1700318,-0.08515452,-0.21193327,0.04175397,-0.026016958,-0.2340377,-0.123683386,0.12069038,0.082787566,-0.59692264
2022-06-01,-0.5576284071611927,0.10793161,0.114735074,-0.26996735,-0.035470303,0.046882268,0.1928856,-0.07514347,-0.21841802,-0.13827316,-0.008370565,-0.20102964,-0.10824399,0.14808318,0.029938497,-0.4642649
2022-06-02,0.28346371516621693,0.14669368,0.079806134,-0.2778374,-0.032536972,0.0639406,0.20989452,-0.053145275,-0.19284524,-0.20987101,0.011594348,-0.16905029,-0.09401887,0.15315966,0.005132108,-0.41757834
2022-06-03,0.11976231097438104,0.16664952,0.040651668,-0.28522298,-0.032007936,0.07853029,0.2254956,-0.03628962,-0.18337415,-0.1742707,0.026670396,-0.14302549,-0.06212166,0.15140992,0.012830424,-0.395825
2022-06-06,0.9118210134833452,0.16990039,0.001413062,-0.29225007,-0.024777956,0.08766581,0.23750332,-0.015583294,-0.1678431,-0.0926037,0.03908819,-0.1277176,-0.024851782,0.16477744,0.046766378,-0.37571627
2022-06-07,0.380986951569323,0.16608359,-0.028338306,-0.30137336,-0.020012356,0.096588545,0.24361059,-0.0015467599,-0.1539795,0.014540995,0.052119937,-0.12716515,0.0012003891,0.14649867,0.07920911,-0.35475633
2022-06-08,-0.6575457624569702,0.12691237,-0.041511707,-0.31036794,-0.015561908,0.106461056,0.25710002,-0.003444838,-0.16325773,0.075741716,0.06253043,-0.14171344,-0.009052761,0.1463332,0.09313933,-0.35419905
2022-06-09,1.6362682906309303,0.07162478,-0.050272793,-0.3122176,-0.0164194,0.111709796,0.2611377,-0.014401364,-0.20383087,0.13863349,0.06972876,-0.17315723,-0.062009588,0.13757633,0.08615172,-0.44380787
2022-06-10,2.578331542879724,0.034944072,-0.05285028,-0.31270248,-0.014713879,0.11342811,0.2719933,-0.007071144,-0.2029102,0.14298236,0.07761617,-0.20860673,-0.06790211,0.16093072,0.079053186,-0.42235637
2022-06-13,0.288515598268369,0.03429846,-0.059754238,-0.31253555,-0.015486958,0.11518833,0.28955835,-0.0012384204,-0.16191575,0.05797311,0.08597086,-0.22987302,-0.061441667,0.18297967,0.07927391,-0.31508112
2022-06-14,0.27509788703887017,0.067435876,-0.072977215,-0.31212017,-0.0155149745,0.11514332,0.31570628,-0.013549338,-0.111148424,-0.05467371,0.09090108,-0.22643031,-0.037315704,0.21938415,0.10490387,-0.25102726
2022-06-15,2.061366264730927,0.12670894,-0.099538505,-0.31206074,-0.015958436,0.112992525,0.33094978,-0.0068029175,-0.063731454,-0.11719119,0.09229211,-0.20863378,-0.015798053,0.24403611,0.13704813,-0.22672284
2022-06-16,0.44788721184346214,0.18097584,-0.12873082,-0.31452736,-0.018254418,0.10800421,0.33525527,0.014025809,-0.096192025,-0.092685685,0.08978297,-0.18736258,0.003481106,0.25027353,0.15935162,-0.24161813
2022-06-17,-0.3100159571714529,0.18714048,-0.16269194,-0.3161084,-0.021385424,0.10183333,0.33919615,0.018051967,-0.13847573,-0.029882194,0.08378243,-0.1634285,-0.026162772,0.22657764,0.16243337,-0.23963761
2022-06-20,-1.6954751380589193,0.15991533,-0.18771088,-0.3179059,-0.020124167,0.09411467,0.3508834,-0.0016953421,-0.19610418,0.023114992,0.07226726,-0.15413116,-0.021410579,0.19703656,0.16469969,-0.23568216
2022-06-21,1.4088948999235602,0.11159295,-0.19704692,-0.31970805,-0.01859755,0.086146906,0.3540228,-0.015894739,-0.21683784,0.06698704,0.058604937,-0.1658385,-0.028216815,0.19971819,0.1690265,-0.2256853
2022-06-22,-0.8283137903524996,0.078349195,-0.21690774,-0.32203108,-0.020601086,0.07988999,0.36706442,-0.02777212,-0.21364973,0.06767224,0.049970962,-0.18795931,-0.026252767,0.21787225,0.171735,-0.19716048
2022-06-23,-0.8159728000948833,0.07990806,-0.21733806,-0.31925496,-0.023995858,0.074681886,0.3811411,-0.036391705,-0.21999402,0.07177662,0.041340332,-0.21559888,-0.03376068,0.21974011,0.17523262,-0.20900837
2022-06-24,-0.7507492828005156,0.1026542,-0.20840007,-0.3147558,-0.02619813,0.07100236,0.38796446,-0.020123376,-0.18432623,0.056267403,0.030261125,-0.23965675,-0.030595059,0.20730272,0.16949637,-0.17712176
2022-06-27,-0.07119655010757286,0.12701678,-0.21170902,-0.31622735,-0.02626216,0.069642,0.3986564,-0.0049617477,-0.13435377,0.0280445,0.014049197,-0.25577256,-0.03415166,0.23304604,0.18221372,-0.16575947
2022-06-28,0.33970348855771887,0.15650573,-0.21440709,-0.31769353,-0.02639082,0.07235742,0.40473306,0.0011206691,-0.061044447,0.01640379,0.0040343646,-0.2608623,-0.0004347982,0.2532325,0.19269963,-0.1483764
2022-06-29,0.1483144895815026,0.17206852,-0.21839151,-0.31877315,-0.026556902,0.07751401,0.40919027,0.019680241,-0.013136057,0.010303597,0.012405675,-0.25838903,0.016266393,0.260765,0.20172137,-0.1244834
2022-06-30,0.20420952333862868,0.15764974,-0.22498894,-0.31630144,-0.019223854,0.08568787,0.41451314,0.02480148,0.028000249,0.026489133,0.027609648,-0.24814431,0.02352122,0.25721586,0.20728193,-0.11678172
2022-07-01,-0.45730201810230076,0.1116199,-0.22551996,-0.31077242,-0.01916295,0.09460736,0.39602655,-0.004188777,-0.03742847,0.03020922,0.04385527,-0.26152048,-0.010222821,0.20975478,0.17452376,-0.21391362
2022-07-04,0.18162754806785142,0.05197759,-0.2186977,-0.30747423,-0.023151703,0.1036978,0.36301026,-0.03635779,-0.16634414,0.01851301,0.05647107,-0.28546724,-0.06230125,0.16418096,0.11581669,-0.411777
2022-07-05,-1.0137809993882445,0.0027919263,-0.2244013,-0.30612975,-0.027817257,0.1111814,0.37125376,-0.04031564,-0.25382748,0.037761465,0.066629425,-0.30506507,-0.074696586,0.1795209,0.09627988,-0.4607012
2022-07-06,-0.7959788627546872,0.0068983203,-0.22275074,-0.3002733,-0.030861989,0.11376824,0.38294345,-0.035407066,-0.28326106,0.03966686,0.07844695,-0.31349602,-0.07587188,0.19974853,0.07197518,-0.42951253
2022-07-07,-0.4710270793470212,0.040935144,-0.21074957,-0.29473567,-0.032697916,0.11626731,0.38437188,-0.012071473,-0.27037194,0.051675536,0.08582746,-0.2907226,-0.08240846,0.21206717,0.053942993,-0.4689954
2022-07-08,0.06285478467067028,0.07158886,-0.20559458,-0.295139,-0.03486147,0.117881946,0.39596358,0.009623635,-0.25571188,0.060217094,0.08367187,-0.24771015,-0.07811112,0.23477781,0.063666664,-0.4740824
2022-07-11,0.9576299176025759,0.08553393,-0.18927827,-0.30517372,-0.034388073,0.12105432,0.3752447,0.006533591,-0.2645872,0.055831794,0.06571646,-0.19325402,-0.07554095,0.20773523,0.03753156,-0.65603673
2022-07-12,0.5747917012305841,0.07335334,-0.19771527,-0.30393583,-0.03341206,0.1206666,0.3755517,0.0153629,-0.21256876,0.056642562,0.056699783,-0.1420743,-0.025805214,0.21784413,0.060693096,-0.53405267
2022-07-13,0.20106460566426737,0.076658495,-0.16930835,-0.30376357,-0.029926628,0.122042544,0.35465193,0.020678831,-0.15385999,0.053358946,0.056034986,-0.09126022,-0.008967096,0.19876401,0.04165642,-0.56034815
2022-07-14,-0.6100282933461284,0.08061471,-0.14476572,-0.3029911,-0.02986456,0.12316447,0.34177384,0.014900247,-0.11926054,0.06272577,0.06314799,-0.062017046,-0.0035966486,0.18513839,0.01003049,-0.5710722
2022-07-15,-1.28535480442578,0.07896382,-0.1334711,-0.2971452,-0.03168137,0.119901255,0.34204245,0.015441613,-0.09204033,0.07925319,0.07708361,-0.06354169,-0.0063177515,0.19441985,-0.0063043674,-0.54712
2022-07-18,-0.32003127787280067,0.07945663,-0.12454553,-0.2951171,-0.03376002,0.118621536,0.3442967,0.017457077,-0.08304475,0.09373591,0.08666129,-0.09349472,-0.010114981,0.20873311,-0.011827224,-0.53550804
2022-07-19,-0.9876933524365484,0.07542925,-0.09056361,-0.29691118,-0.035430595,0.11459446,0.34079984,0.016432574,-0.09369568,0.08185904,0.08995869,-0.14270788,-0.0032095052,0.22454014,-0.00537159,-0.5582916
2022-07-20,-0.44063743829384067,0.059461698,-0.06486657,-0.2999333,-0.03742398,0.109951966,0.32375103,0.031848326,-0.12799625,0.07697849,0.08589046,-0.19789515,0.01038502,0.22842968,0.0088522015,-0.49275175
2022-07-21,-0.6045997140745569,0.056705505,-0.040756755,-0.3048386,-0.03769403,0.104101524,0.31986338,0.043144938,-0.1802926,0.0764893,0.076914564,-0.23960684,0.02211216,0.22590536,0.013789383,-0.44485146
2022-07-22,0.535224785845637,0.06959828,-0.03692864,-0.31316844,-0.036802266,0.09786611,0.32648477,0.05710938,-0.18784836,0.086305134,0.070878945,-0.2736413,0.04077267,0.23426285,0.03734231,-0.41046625
2022-07-25,0.8737956373040782,0.086238556,-0.03334886,-0.3198445,-0.03579972,0.09128629,0.33917046,0.06386945,-0.20543998,0.09250485,0.06564468,-0.29692608,0.0643709,0.23830031,0.057669863,-0.37687624
2022-07-26,-0.8542544239994778,0.09289783,-0.020932607,-0.32370064,-0.03752372,0.085121624,0.35391802,0.07789062,-0.24136095,0.078812435,0.062253475,-0.3136946,0.08537227,0.24706458,0.07878553,-0.40722755
2022-07-27,-1.5587261855559968,0.08601453,-0.025156744,-0.29451773,-0.03945347,0.07552151,0.35947272,0.084227555,-0.2900435,0.093421094,0.043877255,-0.32561192,0.09681251,0.2549234,0.086734235,-0.47347248
2022-07-28,-1.2140418788170568,0.07582807,0.0007826628,-0.29989386,-0.048393488,0.063674994,0.3293645,0.05156384,-0.39564097,0.07630707,0.00038193166,-0.33373114,-0.007710673,0.19496784,0.013248265,-0.6465871
2022-07-29,-0.9474407053002138,0.021684825,0.017864192,-0.31239268,-0.053639553,0.060870904,0.31628823,0.050264124,-0.4615137,0.07323628,-0.02332123,-0.33663172,-0.016717287,0.15641798,-0.05162535,-0.6471538
2022-08-01,0.007041572379746318,-0.010799842,0.02355363,-0.32886368,-0.04631954,0.06337852,0.328292,0.053325348,-0.45623654,0.10349659,-0.025669355,-0.33789888,-0.021570139,0.16335875,-0.10277999,-0.5373176
2022-08-02,-0.19416505061416395,0.013109917,0.06850371,-0.34173653,-0.03425627,0.07106526,0.30394903,0.04842813,-0.43960613,0.1071458,-0.01250561,-0.29812846,-0.039199933,0.13625167,-0.19062284,-0.5726535
2022-08-03,0.0694402654382495,0.046354927,0.11086977,-0.34292027,-0.036255144,0.080022454,0.30232581,0.037495587,-0.4097097,0.10324065,0.018064808,-0.23735511,-0.036327317,0.11537564,-0.26842204,-0.6697503
2022-08-04,-0.047347846989045164,0.07946646,0.18631203,-0.31782126,-0.043450613,0.09409372,0.2832441,-0.0037808998,-0.40370965,0.10388794,0.035316214,-0.14229195,-0.065178804,0.05341521,-0.36075094,-0.83432305
2022-08-05,-0.6468803042619067,0.09091608,0.26543972,-0.31073067,-0.05016206,0.114926085,0.2241122,-0.04008585,-0.42517436,0.10082795,0.04270016,-0.033507813,-0.10968626,0.0002902737,-0.4838943,-0.93680036
2022-08-08,-0.015394087742754357,0.036191635,0.32200992,-0.29728475,-0.051967286,0.13730225,0.18486151,-0.051404197,-0.44595113,0.03723008,0.059512407,0.030448839,-0.109939314,0.009807872,-0.6053745,-0.91153705
2022-08-10,-0.6239038569374961,-0.03310281,0.4029674,-0.30232653,-0.048597686,0.16385138,0.14461784,-0.04345161,-0.46120027,0.011860622,0.08857375,0.07134226,-0.09883238,0.023241244,-0.7208371,-0.8589157
2022-08-11,-0.1713055132904784,-0.06570688,0.49881974,-0.3046984,-0.04750274,0.18330888,0.12691304,-0.01613264,-0.4665132,0.040685907,0.1316818,0.1069022,-0.0628016,0.059478424,-0.7846604,-0.8231556
2022-08-12,-0.6327458020916154,-0.08904674,0.56354445,-0.27311894,-0.058900405,0.19179465,0.13617985,0.023861844,-0.44180423,0.06558562,0.17551461,0.09485417,-0.005326744,0.090352595,-0.7273748,-0.6383818
2022-08-16,-0.5859597855296294,-0.017221985,0.660633,-0.28687277,-0.053706717,0.19852254,0.10419403,0.058585424,-0.41479516,0.03548183,0.2032449,0.15149893,0.076946996,0.09097623,-0.59127116,-0.6461654
2022-08-17,-0.027764303859478496,-0.01010943,0.6982475,-0.28437722,-0.05274242,0.18438935,0.09781777,0.07321887,-0.37103802,0.05861894,0.20600009,0.14726101,0.15355244,0.1249684,-0.4376933,-0.5233243
